date,close,volume,open,high,low,stock_name
2015-06-08,526.83,1524100.0,533.31,534.12,526.24,Google
2015-06-09,526.69,1455266.0,527.56,529.2,523.01,Google
2015-06-10,536.69,1814938.0,529.4,538.36,529.35,Google
2015-06-11,534.61,1217536.0,538.42,538.98,533.02,Google
2015-06-12,532.33,955400.0,531.63,533.12,530.16,Google
2015-06-15,527.2,1632700.0,528.0,528.3,524.0,Google
2015-06-16,528.15,1071800.0,528.4,529.64,525.56,Google
2015-06-17,529.26,1294200.0,529.37,530.98,525.1,Google
2015-06-18,536.73,1833100.0,531.0,538.15,530.79,Google
2015-06-19,536.69,1893400.0,537.21,538.25,533.01,Google
2015-06-22,538.19,1250200.0,539.59,543.74,537.53,Google
2015-06-23,540.48,1197450.0,539.64,541.5,535.25,Google
2015-06-24,537.84,1286600.0,540.0,540.0,535.66,Google
2015-06-25,535.23,1335600.0,539.66,540.9,535.23,Google
2015-06-26,531.69,2109100.0,537.26,537.76,531.35,Google
2015-06-29,521.52,1937800.0,525.41,528.61,520.54,Google
2015-06-30,520.51,2235595.0,526.2,526.25,520.5,Google
2015-07-01,521.84,1961300.0,524.73,525.69,518.23,Google
2015-07-02,523.4,1235900.0,521.08,524.65,521.08,Google
2015-07-06,522.86,1280500.0,519.5,525.25,519.0,Google
2015-07-07,525.02,1597200.0,523.13,526.18,515.18,Google
2015-07-08,516.83,1296600.0,521.05,522.73,516.11,Google
2015-07-09,520.68,1842300.0,523.12,523.77,520.35,Google
2015-07-10,530.13,1956600.0,526.29,532.56,525.55,Google
2015-07-13,546.55,2206400.0,532.88,547.11,532.4,Google
2015-07-14,561.1,3244066.0,546.76,565.85,546.71,Google
2015-07-15,560.22,1784234.0,560.13,566.5,556.79,Google
2015-07-16,579.85,4768300.0,565.12,580.68,565.0,Google
2015-07-17,672.93,11164900.0,649.0,674.47,645.0,Google
2015-07-20,663.02,5860800.0,659.24,668.88,653.01,Google
2015-07-21,662.3,3377100.0,655.21,673.0,654.3,Google
2015-07-22,662.1,3929300.0,660.89,678.64,659.0,Google
2015-07-23,644.28,3029100.0,661.27,663.63,641.0,Google
2015-07-24,623.56,3625700.0,647.0,648.17,622.52,Google
2015-07-27,627.26,2675300.0,621.0,634.3,620.5,Google
2015-07-28,628.0,1727300.0,632.83,632.83,623.31,Google
2015-07-29,631.93,1575000.0,628.8,633.36,622.65,Google
2015-07-30,632.59,1474200.0,630.0,635.22,622.05,Google
2015-07-31,625.61,1706100.0,631.38,632.91,625.5,Google
2015-08-03,631.21,1304511.0,625.34,633.06,625.34,Google
2015-08-04,629.25,1490800.0,628.42,634.81,627.16,Google
2015-08-05,643.78,2334200.0,634.33,647.86,633.16,Google
2015-08-06,642.68,1572235.0,645.0,645.38,632.25,Google
